מפעיל,מס' אשכול,אשכול,תת אשכול,מחוז,"מק""ט קו",מס' קו,כיוון,חלופה,שילוט,סידורי תחנה,מקט תחנה,שם תחנה,פעילות בתחנה,תחנת הורדה ראשונה,מרחק מתחנה קודמת,מרחק מתחנת מוצא,זמן נסיעה מתחנת המוצא,קומה,רציף,Lat,Long,קוד עיר,שם עיר,רחוב,מס' בית,סטטוס תחנה,קוד אזור,שם אזור,קוד שיתוף,תיאור קוד השיתוף
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,1,53436,יער אודם\רבין,אסוף בלבד,2,0,0,0,,,32.642381,35.091698,240,יקנעם עילית,יער אודם,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,2,59589,יער אודם/בנטל,אסוף והורדה,3,693,693,1.799999952,,,32.638187,35.091405,240,יקנעם עילית,יער אודם,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,3,53500,יער אודם/חרמון,אסוף והורדה,4,208,901,2.316666603,,,32.637428,35.089505,240,יקנעם עילית,יער אודם,19,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,4,53501,יער אודם/אביטל,אסוף והורדה,5,371,1272,3.049999952,,,32.637234,35.085996,240,יקנעם עילית,יער אודם,3,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,5,53502,שד.יצחק רבין / יער אודם,אסוף והורדה,6,149,1421,3.383333445,,,32.637567,35.084861,240,יקנעם עילית,שדרות יצחק רבין,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,6,53438,ירדן / חצבני,אסוף והורדה,7,294,1715,4.016666889,,,32.639466,35.084142,240,יקנעם עילית,ירדן,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,7,53439,ירדן/בניאס,אסוף והורדה,8,166,1881,4.383333206,,,32.640806,35.083875,240,יקנעם עילית,ירדן,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,8,53440,ירדן\דליות,אסוף והורדה,9,294,2175,5.016666889,,,32.642333,35.086063,240,יקנעם עילית,ירדן,,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,9,53441,ירדן/שיאון,אסוף והורדה,10,190,2365,5.433333397,,,32.643876,35.086689,240,יקנעם עילית,ירדן,43,פעיל,322,יקנעם,561,יוקנעם- טבעון
סופרבוס,120,העמקים,יקנעם,גולן גליל ועמקים,10190,190,1,0,190,10,53442,ירדן/שיאון,אסוף והורדה,11,335,2700,6.166666508,,,32.644427,35.087946,240,יקנעם עילית,ירדן,15,פעיל,322,יקנעם,561,יוקנעם- טבעון
